instance,as4mocoRun,sbsRun,oracleRun,score,solver_as4moco,solver_sbs,solver_oracle,as4moco_Pipeline,instance_hardness,difference_to_oracle,different_solutions,Fold
mc2022_track1_000.dimacs,0.193,0.235,0.005,0.8173913043478261,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,2.0925625,0.188,ALL_SAME,3
mc2022_track1_001.dimacs,0.077,0.841,0.041,0.045,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,900.17225,0.036,ALL_SAME,2
mc2022_track1_002.dimacs,0.441,0.496,0.036,0.8804347826086957,Narsimha-track1v-51fd045537919d/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_INSTANCE,900.1826875,0.405,ALL_SAME,4
mc2022_track1_003.dimacs,0.288,0.271,0.009,1.064885496183206,d4/default.sh,ExactMC/ExactMC_Arjun.sh,gpmc/track1,PER_SET,900.1433125,0.27899999999999997,ALL_SAME,1
mc2022_track1_004.dimacs,21.001,8.994,8.994,-1.0,dpmcpre/1pre1mp0,ExactMC/ExactMC_BE.sh,ExactMC/ExactMC_BE.sh,PER_INSTANCE,432.38837500000005,12.007000000000001,ALL_SAME,2
mc2022_track1_005.dimacs,25.339,12.797,12.559,53.69747899159634,dpmcpre/1pre1mp1,ExactMC/ExactMC_BE.sh,SharpSAT-TD-unweighted/default,PER_INSTANCE,604.1018125,12.78,ALL_SAME,2
mc2022_track1_006.dimacs,10.117,3.245,2.662,12.787307032590048,ExactMC/ExactMC_Arjun.sh,ExactMC/ExactMC_Arjun.sh,Narsimha-track1v-7112ef8eb466e9475/track1_conf1.sh,PER_SET,846.9385,7.455000000000001,ALL_SAME,1
mc2022_track1_007.dimacs,0.029,0.238,0.009,0.08733624454148474,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/2.sh,PER_SET,27.103312499999998,0.020000000000000004,ALL_SAME,3
mc2022_track1_008.dimacs,0.026,0.238,0.009,0.07423580786026202,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,25.468249999999998,0.017,ALL_SAME,3
mc2022_track1_009.dimacs,0.067,0.264,0.015,0.20883534136546186,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,16.9924375,0.052000000000000005,ALL_SAME,2
mc2022_track1_010.dimacs,0.029,0.255,0.01,0.07755102040816328,d4/default.sh,ExactMC/ExactMC_BE.sh,TwG/1.sh,PER_SET,27.541687500000002,0.019000000000000003,ALL_SAME,2
mc2022_track1_011.dimacs,0.03,0.241,0.011,0.08260869565217392,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc_r2/track1,PER_SET,28.996000000000002,0.019,ALL_SAME,2
mc2022_track1_012.dimacs,0.366,0.234,0.024,1.6285714285714283,d4/default.sh,ExactMC/ExactMC_BE.sh,d4/default.sh,PER_SET,248.5510625,0.34199999999999997,ALL_SAME,5
mc2022_track1_013.dimacs,0.03,0.24,0.016,0.0625,d4/default.sh,ExactMC/ExactMC_BE.sh,gpmc/track1,PER_SET,16.658875,0.013999999999999999,ALL_SAME,3
mc2022_track1_014.dimacs,120.251,0.258,0.012,488.7764227642277,Narsimha-track1v-51fd045537919d/track1_conf2.sh,ExactMC/ExactMC_Arjun.sh,gpmc_r2/track1,PER_INSTANCE,27.3455625,120.239,ALL_SAME,4
